clasificacion,,texto,
Verdadero,La cantidad de nuevo,"La cantidad de nuevos puestos de trabajo en el sector privado aumentó entre 2007 y 2011. A partir de ese año, la generación de empleos privados se estancó y se registró un crecimiento del trabajo estatal.",
Falso,Las cifras coinciden,"Las cifras coinciden con lo mencionado por la candidata a Presidenta del frente Progresistas, aunque incluyen al programa Fútbol Para Todos, cuyos fondos no se utilizan en su totalidad para pauta publicitaria.",
Verdadero,Los datos oficiales ,"Los datos oficiales muestran que las operaciones entre La Usina Producciones, empresa que integraba el ahora ex candidato a diputado nacional por el PRO, y el Gobierno de la Ciudad de Buenos Aires fueron mayormente por esta modalidad.",
Falso,Cada 10 horas muere ,Cada 10 horas muere una persona por desnutrición en la Argentina,
Falso,Los datos oficiales ,"Los datos oficiales coinciden con la frase, pero la gran mayoría de los casos refiere a personas mayores de 85 años y no a chicos y adolescentes. Además, la información muestra una mejora con respecto a 2003.",
Falso,Los homicidios consu,"Los homicidios consumados en ocasión de robo en la Provincia descendieron un 8% desde 2009 y, en la Ciudad, un 47% desde 2010. Estos son los últimos datos disponibles sobre la problemática.",
Falso,Según el estudio que,"Según el estudio que se considere, el país aumentó este segmento por encima o por debajo de otras naciones latinoamericanas. En los últimos cuatro años se produjo un descenso de quienes integran esta clase social en la Argentina.",
Falso,"Si bien, como dijo e","Si bien, como dijo el presidente de la Bolsa de Comercio, nuestro país es el único con esa calificación, los índices dejan fuera a muchas naciones de la región e incluyen dentro de esta categoría a países de Europa del Este y Asia.",
Falso,La cantidad de emple,"La cantidad de empleados creció, aunque en una magnitud menor a la citada por la diputada nacional. Más allá del número de agentes, el trabajo estatal aumentó en áreas que son servicios esenciales para la población.",
Falso,Las estadísticas glo,"Las estadísticas globales muestran que la información de la diputada radical es correcta. La situación, sin embargo, viene descendiendo, y en el país representa un porcentaje menor del total. Los expertos advierten sobre el incremento de la obesidad.",
Verdadero,Los datos respaldan ,"Los datos respaldan lo que dijo la Presidenta. Sin embargo, la frase omite que la caída se debe a una disminución de la población que busca trabajo, cuyas causas no es posible determinar.",
Verdadero,El diputado del Fren,"El diputado del Frente Renovador se refería al aumento en la recaudación por Ganancias, que fue 11 veces mayor para los trabajadores en ese período. Esto, sin embargo, no es algo negativo para el sistema impositivo.",
Verdadero,La provincia no está,"La provincia no está entre las jurisdicciones más igualitarias del país. De todas maneras, el índice citado por el Gobernador tras el comentario del futbolista Carlos Tévez no refuta la pobreza en el distrito.",
Falso,El gobernador electo,"El gobernador electo de Tucumán declaró un patrimonio de más de $16 millones cuando lideraba la cartera de Salud, el más alto dentro del gabinete del Poder Ejecutivo Nacional.",
Verdadero,Si bien hubo un gran,"Si bien hubo un gran aumento del precio de las viviendas con respecto a los salarios, no llegó a duplicarse. Distintas fuentes estiman una menor cantidad de salarios para acceder a un departamento estándar.",
Falso,¿El 80% de los polic,¿El 80% de los policías bonaerenses vive en villas de emergencia?,
Falso,Lo aseguró el repres,Lo aseguró el representante del sindicato de la Policía Bonaerense. No existen datos que permitan confirmar o desmentir que esa proporción de la mayor fuerza de seguridad del país viva en asentamientos.,
Falso,La mayoría de los da,"La mayoría de los datos presentados por el sitio son correctos, pero los indicadores elegidos para comparar la gestión económica de ambos gobiernos son parciales.",
Falso,Los exámenes realiza,Los exámenes realizados en la Ciudad y a nivel nacional dan diferentes resultados sobre la comprensión lectora de los estudiantes en el último año de la secundaria.,
Falso,La afirmación del mi,"La afirmación del ministro de Economía y candidato a diputado nacional del FpV proviene de un cálculo que no se puede verificar. Por otra parte, el llamado dólar ‘blue’ afecta a otros sectores de la economía.",
Falso,Los espacios para la,"Los espacios para la radicación de empresas generados durante su gestión se duplicaron. Aún así, alcanzan la cifra de los que se habían creado durante los 34 años anteriores.",
Falso,El precandidato a Pr,"El precandidato a Presidente del PRO se muestra visitando a personas de todo el país, pero no menciona logros de gestión, datos o propuestas.",
Verdadero,El trabajo estatal p,El trabajo estatal porteño aumentó en casi nueve mil empleados entre 2007 y 2015: el gobierno del PRO disminuyó casi siete mil empleados administrativos e incrementó en 16 mil los dedicados a servicios públicos. Es una de las jurisdicciones donde más crecieron los cargos en el Estado.,
Falso,La tasa de desempleo,"La tasa de desempleo es baja, pero hay una proporción alta de personas que no trabajan y de beneficiarios de planes sociales, que las estadísticas consideran ocupados.",
Falso,El precandidato pres,El precandidato presidencial asegura que dio trabajo a esa cantidad de adolescentes. Un repaso de los datos.,
Falso,La información ofici,"La información oficial confirma estos valores, tanto el salario de los ocupados como el nivel de trabajo en negro.",
Verdadero,Si bien hubo un crec,"Si bien hubo un crecimiento de las manufacturas agrarias vinculadas con la soja, los porotos aún superan al aceite en las exportaciones.",
Falso,Un estudio señala qu,"Un estudio señala que en la mayoría de los países se utilizan recursos estatales con fines partidarios, pero según los expertos eso no legitima el incumplimiento de la ley argentina, que prohíbe esta práctica.",
Falso,Los estudios sobre e,"Los estudios sobre el tema no muestran un crecimiento en el uso de estas sustancias. Sólo se ve un aumento en el consumo de marihuana, que no llega a duplicarse.",
Falso,La superficie destin,La superficie destinada al cereal es incluso menor que a principios del siglo pasado. Los especialistas apuntan a los cupos de exportación y la rentabilidad.,
Verdadero,Si bien el presupues,"Si bien el presupuesto para la compañía es mayor al del Ministerio citado, la diferencia es menor.",
Falso,La cantidad de denun,"La cantidad de denuncias aumentó en gran magnitud. En el último año, los asesinatos cometidos en el marco de otros delitos encabezaron el ranking y también aumentó la tasa de homicidios dolosos.",
Verdadero,En el estudio más re,"En el estudio más reciente la Argentina ocupa uno de los últimos lugares en relación a la cantidad de horas de clase que por ley reciben los alumnos. Sin embargo, este no tiene datos de más de tres cuartos del total de países del mundo.",
Falso,No existe un estudio,"No existe un estudio con datos sobre empleados y pauta recibida. Si bien con estos parámetros puede haber grupos que reciban más publicidad estatal, los especialistas coinciden en que no es un criterio válido ni relevante para el análisis.",
Falso,Es cierto que no hub,"Es cierto que no hubo paros generales por razones salariales en los últimos años. Sin embargo, hubo algunas medidas de fuerza por otras causas.",
Falso,La veracidad de la f,"La veracidad de la frase del candidato de ECO depende de qué se considere como “vivienda deshabitada”. Si se utiliza la metodología del INDEC es verdadera, no así si se usa el cálculo del IVC.",
Falso,"Stolbizer, sobre el ","Stolbizer, sobre el Plan Pro.Cre.Ar: “No han llegado ni al 40% de lo que habían prometido”",
Falso,El dato es correcto ,"El dato es correcto porque hasta el momento se entregaron casi 146 mil créditos de los 400 mil anunciados, pero aún resta un año para el cumplimiento del plan.",
Verdadero,Si se considera la c,"Si se considera la cantidad de personas que viajan en avión dentro del país el porcentaje es correcto. La cantidad de viajes, sin embargo, aumentó de manera significativa.",
Verdadero,"En 2015, la cantidad","En 2015, la cantidad de personas con condena alcanza a un total de 563. Los procesados, por otro lado, son más de 1100, una cifra similar a la mencionada.",
Verdadero,El empleo público pr,"El empleo público provincial aumentó 70%, un fenómeno que también se dio en otras jurisdicciones. Aun así, Córdoba es la provincia con menor porcentaje de trabajadores estatales del país.",
Falso,El país aumentó su i,"El país aumentó su igualdad con respecto a la década del ´90, pero aún así está lejos del promedio europeo. La distancia es histórica y se vincula, entre otras razones, con la mayor presencia e impacto de impuestos progresivos.",
Falso,Si bien no hay cifra,"Si bien no hay cifras oficiales confiables y la pobreza afecta en mayor medida a los menores de edad, ninguna de las estimaciones alternativas llega a ese porcentaje.",
